wine_name,vivino_rating,vivino_num_ratings,vivino_price,vivino_url
2019 Famille Dutraive - Saint-Amour Clos du Chapitre - Red - 750 ml - Standard Bottle,4.1,73 ratings,N/A,https://www.vivino.com/SG/en/domaine-de-la-grand-cour-jean-louis-dutraive-famille-dutraive-saint-amour-clos-du-chapitre/w/6247986?year=2019
2018 Concha y Toro - Marques de Casa Concha Cabernet Sauvignon Puente Alto Vineyard Maipo Valley - Red - 750 ml - Standard Bottle,3.9,5909 ratings,$52,https://www.vivino.com/SG/en/marques-de-casa-concha-cabernet-sauvignon/w/1135073?year=2018&price_id=26647915
2021 Concha y Toro - Marques de Casa Concha Chardonnay Maipo Valley - White - 750 ml - Standard Bottle,4.0,483 ratings,$52,https://www.vivino.com/SG/en/marques-de-casa-concha-chardonnay/w/20726?year=2021&price_id=38662416
NV Franschhoek Cellar - Brut Rose Methode Cap Classique - Rose - 750 ml - Standard Bottle,3.9,231 ratings,N/A,https://www.vivino.com/SG/en/rickety-bridge-methode-cap-classique-brut-rose/w/2328675
2017 Matteo-Correggia - Nebbiolo Roero - Red - 750 ml - Standard Bottle,4.2,167 ratings,N/A,https://www.vivino.com/SG/en/matteo-correggia-la-val-dei-preti-nebbiolo-d-alba/w/1187207?year=2017&price_id=38762358
2019 Pascal Bouchard - Bourgogne Aligote - White - 750 ml - Standard Bottle,3.6,based on all vintages,N/A,https://www.vivino.com/SG/en/pascal-bouchard-reserve-saint-pierre-bourgogne-aligote/w/12474966?year=2019
2017 Black Elephant Vintners - The Back Roads Matoppie Petite Sirah - Red - 750 ml - Standard Bottle,4.1,based on all vintages,$69,https://www.vivino.com/SG/en/za-black-elephant-vintners-the-back-roads-matoppie/w/2773019?year=2017&price_id=35230841
2018 Thousand Candles - Single Vineyard Syrah - Red - 750 ml - Standard Bottle,N/A,Not enough ratings,N/A,https://www.vivino.com/SG/en/thousand-candles-single-vineyard-syrah/w/10886818?year=2018
2012 Donelan Wines - Venus Sonoma County - White - 750 ml - Standard Bottle,4.0,42 ratings,N/A,https://www.vivino.com/SG/en/donelan-venus-roussanne-viognier/w/2265654?year=2012
2017 Negretti - Barbera d'Alba Superiore - Red - 750 ml - Standard Bottle,3.9,43 ratings,N/A,https://www.vivino.com/SG/en/negretti-barbera-d-alba-superiore/w/1691622?year=2017
2018 De Martino - Sauvignon Blanc Parcela 5 - White - 750 ml - Standard Bottle,4.1,42 ratings,N/A,https://www.vivino.com/SG/en/cl-de-martino-parcela-5-sauvignon-blanc/w/2229112?year=2018
